NO,DN,BEGIN_TIME,END_TIME,R001_001,R001_002,R001_003,R001_004,R001_005,R001_006,R001_007,R001_008,R001_009,R001_010,R001_011,R001_012,R001_014,R001_016,R001_018,R001_020,R001_022,R001_013,R001_015,R001_017,R001_019,R001_021,RATE
533419,"PLMN=1,AREA=1,ENB=1028401,cell=0",2018/7/1 20:30,2018/7/1 20:45,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.0,55.0,107.0,0.0,0.0,78.0,60.0,107.0,97.96
539979,"PLMN=1,AREA=1,ENB=1028401,cell=0",2018/7/1 20:45,2018/7/1 21:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109.0,81.0,121.0,0.0,0.0,109.0,81.0,121.0,100.0
546544,"PLMN=1,AREA=1,ENB=1028401,cell=0",2018/7/1 21:00,2018/7/1 21:15,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108.0,78.0,135.0,0.0,0.0,108.0,85.0,135.0,97.87
553112,"PLMN=1,AREA=1,ENB=1028401,cell=0",2018/7/1 21:15,2018/7/1 21:30,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.0,107.0,134.0,0.0,0.0,101.0,108.0,134.0,99.71
559679,"PLMN=1,AREA=1,ENB=1028401,cell=0",2018/7/1 21:30,2018/7/1 21:45,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111.0,124.0,125.0,0.0,0.0,111.0,132.0,125.0,97.83
566225,"PLMN=1,AREA=1,ENB=1028401,cell=0",2018/7/1 21:45,2018/7/1 22:00,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.0,68.0,136.0,0.0,0.0,89.0,73.0,136.0,98.32
572784,"PLMN=1,AREA=1,ENB=1028401,cell=0",2018/7/1 22:00,2018/7/1 22:15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,54.0,93.0,0.0,0.0,74.0,54.0,93.0,100.0
579358,"PLMN=1,AREA=1,ENB=1028401,cell=0",2018/7/1 22:15,2018/7/1 22:30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.0,52.0,92.0,0.0,0.0,91.0,52.0,92.0,100.0
585921,"PLMN=1,AREA=1,ENB=1028401,cell=0",2018/7/1 22:30,2018/7/1 22:45,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,44.0,97.0,0.0,0.0,76.0,54.0,97.0,95.59
592490,"PLMN=1,AREA=1,ENB=1028401,cell=0",2018/7/1 22:45,2018/7/1 23:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,41.0,109.0,0.0,0.0,74.0,41.0,109.0,100.0
